# el-Cevâhirü'l-mudıyye maddesi <tab> fakih id <tab> (yalnızca okumak için) madde başı · fakih adı
# Madde numarası tools/import_cevahir.py'nin verdiği sıra numarasıdır (kitaptaki sıraya göre, 1'den).
# Eşleşmeler ad zinciri, nisbe ve vefat yılına göre bulunup tek tek elle kontrol edildi.
825	alaeddin-abdulaziz-b-ahmed-el-buhari	عبدالعزيز بن أحمد بن محمد البخاري · عبد العزيز البخاري صاحب كشف الأسرار
826	semsuleimme-abdulaziz-b-ahmed-el-hulvani	عبد العزيز بن أحمد بن نصر بن صالح الحلواني الملقب  · شمس الأئمة الحلواني
829	abdulaziz-b-abdurrezzak-el-merginani	عبد العزيز بن عبد الرزاق بن أبي نصر بن جعفر بن سلي · عبد العزيز بن عبد الرزاق المرغيناني
830	ebu-halife-abdulaziz-b-abdusseyyid-el-harezmi	عبد العزيز بن عبد السيد بن عبد العزيز بن محمد أبو  · عبد العزيز بن عبد السيد الخوارزمي
831	kadi-abdulaziz-b-osman-en-nesefi	عبد العزيز بن عثمان بن إبراهيم بن محمد بن أحمد بن  · عبد العزيز بن عثمان النسفي
832	abdulaziz-b-ali-ibnut-turkmani-el-mardini	عبد العزيز بن علي بن الحسن قاضي القضاة · عبد العزيز بن علي ابن التركماني
834	burhanuleimme-burhaneddin-el-kebir-abdulaziz-b-omer-b-maze	عبد العزيز بن عمر بن مازه المعروف ببرهان الأئمة أب · برهان الدين الكبير عبد العزيز بن مازه
847	tacuddin-ebul-mefahir-abdulgafur-b-lokman-el-kerderi	عبد الغفور بن لقمان بن محمد أبو المفاخر الكردري ال · عبد الغفور بن لقمان الكردري
854	abdulkerim-b-abdunnur-el-halebi	عبد الكريم بن عبد النور بن منير بن عبد الكريم بن ع · عبد الكريم بن عبد النور الحلبي
856	ruknuleimme-abdulkerim-b-muhammed	عبد الكريم بن محمد بن أحمد بن علي الصباغي أبو المك · ركن الأئمة عبد الكريم بن محمد
