# Arapça ad	Fukahâ'daki fakih kimliği. Hoca ve talebe adlarından, farklı yazılsa da kaydı olan bir fakihe işaret edenler; elle doğrulandı.
جمال الدين الحصيري	cemaleddin-ebul-mehamid-mahmud-b-ahmed-el-hasiri
أبوه شمس الدين الديري	kadilkudat-semseddin-muhammed-b-abdullah-ed-deyri-el-makdisi
ابنه سعد الدين الديري	kadilkudat-sadeddin-ibnud-deyri
أبوه محمد بن شهاب الكردري	nasiruddin-muhammed-b-sihab-el-kerderi
ناصر الدين محمد بن شهاب	nasiruddin-muhammed-b-sihab-el-kerderi
أبوه نجم الدين عمر النسفي	necmeddin-ebu-hafs-omer-b-muhammed-en-nesefi
عمر بن محمد النسفي	necmeddin-ebu-hafs-omer-b-muhammed-en-nesefi
أحمد الخيالي	semseddin-ahmed-b-musa-el-hayali
أحمد القريمي	ahmed-b-abdullah-el-kirimi
أحمد بن محمد البرتي	ebul-abbas-ahmed-b-muhammed-el-birti
أحمد بن محمد الناطفي	ebul-abbas-ahmed-b-muhammed-en-natifi
أحمد بن محمد العقيلي	semseddin-ahmed-b-muhammed-el-ukayli-el-buhari
أحمد بن محمد بن محمود الغزنوي	ahmed-b-muhammed-b-mahmud-el-gaznevi
أحمد بن محمود الغزنوي	ahmed-b-muhammed-b-mahmud-el-gaznevi
ابن المعلم إسماعيل	residuddin-ismail-b-osman-ibnul-muallim
ابن المعلم إسماعيل القرشي	residuddin-ismail-b-osman-ibnul-muallim
ابنه أحمد الخصاف	ahmed-b-omer-el-hassaf
ابنه حافظ الدين محمد البزازي	hafizuddin-muhammed-b-muhammed-el-bezzazi-el-kerderi
حافظ الدين محمد البزازي	hafizuddin-muhammed-b-muhammed-el-bezzazi-el-kerderi
ابنه شمس الأئمة محمود الأوزجندي	semsuleimme-mahmud-b-abdulaziz-el-ozcendi
جده محمود بن عبد العزيز الأوزجندي	semsuleimme-mahmud-b-abdulaziz-el-ozcendi
محمود بن عبد العزيز الأوزجندي	semsuleimme-mahmud-b-abdulaziz-el-ozcendi
ابنه صاحب الخلاصة	iftiharuddin-tahir-b-ahmed-el-buhari
افتخار الدين طاهر صاحب الخلاصة	iftiharuddin-tahir-b-ahmed-el-buhari
طاهر بن أحمد صاحب الخلاصة	iftiharuddin-tahir-b-ahmed-el-buhari
ابنه عبد الرحيم صاحب الفصول العمادية	zeyneddin-ebul-feth-abdurrahim-b-imaduddin-el-merginani
عبد الرحيم بن عماد الدين صاحب الفصول العمادية	zeyneddin-ebul-feth-abdurrahim-b-imaduddin-el-merginani
ابنه محمد ابن السراج	muhammed-b-omer-ibnus-sirac-er-razi
الأستاذ عبد الله السبذموني	ustad-ebu-muhammed-abdullah-b-muhammed-es-sebezmuni
عبد الله السبذموني	ustad-ebu-muhammed-abdullah-b-muhammed-es-sebezmuni
السيد الأشرف	seyyid-el-esref-b-ebul-vazzah-muhammed
السيد الشريف علي الجرجاني	es-seyyid-es-serif-ali-b-muhammed-el-curcani
السيد جلال الدين الكرلاني	seyyid-celaleddin-el-kurlani-el-harezmi
الزندويستي	zahid-yahya-b-ali-ez-zenduvisti
القاضي أبو منصور محمد بن عبد الجبار السمعاني	kadi-ebu-mansur-muhammed-b-abdulcebbar-es-semani
القاضي أبو خازم	kadi-ebu-hazim-abdulhamid-b-abdulaziz
القاضي أبو خازم عبد الحميد	kadi-ebu-hazim-abdulhamid-b-abdulaziz
القاضي أبو طاهر الدباس	ebu-tahir-muhammed-b-muhammed-ed-debbas
القاضي أبو علي الحسين النسفي	kadi-ebu-ali-el-huseyin-b-hizir-en-nesefi
القاضي أبو علي الحسين بن خضر النسفي	kadi-ebu-ali-el-huseyin-b-hizir-en-nesefi
القاضي إسحاق بن محمد الحكيم السمرقندي	ebul-kasim-ishak-b-muhammed-el-hakim-es-semerkandi
القاضي عبد العزيز بن عثمان النسفي	kadi-abdulaziz-b-osman-en-nesefi
القاضي محمد بن الحسين الأرسابندي	fahrul-kudat-ebu-bekir-muhammed-b-el-huseyin-el-ersabendi
فخر القضاة محمد بن الحسين الأرسابندي	fahrul-kudat-ebu-bekir-muhammed-b-el-huseyin-el-ersabendi
جمال الدين المطهر بن حسين اليزدي	kadilkudat-cemaleddin-ebu-sad-el-mutahhar-b-el-huseyin-el-yezdi
الملك المعظم عيسى	el-melikul-muazzam-serefeddin-isa-b-el-melikul-adil
الموفق أحمد بن محمد خطيب خوارزم	muvaffakuddin-ahtab-harezm-el-muvaffak-b-ahmed
بدر الدين عمر بن عبد الكريم الورسكي	bedreddin-omer-b-abdulkerim-el-verseki
بهاء الدين أيوب ابن النحاس الحلبي	bahaeddin-ebu-sabir-eyyub-b-ebu-bekir-en-nehhas-el-halebi
بهاء الدين محمد الإسبيجابي	bahaeddin-ebul-meali-muhammed-b-ahmed-el-isbicabi
جار الله محمود الزمخشري	carullah-ebul-kasim-mahmud-b-omer-ez-zemahseri
جده القاضي أحمد بن عبد الرحمن الريغدموني	kadi-cemaleddin-ebu-nasr-ahmed-b-abdurrahman-er-rigdemuni
الجمال أبو نصر أحمد بن عبد الرحمن الريغدموني	kadi-cemaleddin-ebu-nasr-ahmed-b-abdurrahman-er-rigdemuni
جمال الدين حامد بن محمد الريغدموني	kadi-cemaleddin-ebu-nasr-hamid-b-muhammed-er-rigdemuni
جده لأمه شرف الدين عمر بن محمد العقيلي	serefeddin-ebu-hafs-omer-b-muhammed-el-ukayli
شرف الدين عمر بن محمد العقيلي	serefeddin-ebu-hafs-omer-b-muhammed-el-ukayli
جعفر بن محمد المستغفري	ebul-abbas-cafer-b-muhammed-el-mustagfiri-en-nesefi
جلال الدين عمر الخبازي	celaleddin-omer-b-muhammed-el-habbazi
جلال الدين محمود بن الحسين الأستروشني	seyhulislam-celaleddin-mahmud-b-huseyin-el-usruseni
مجد الدين محمد بن محمود الأستروشني	mecduddin-muhammed-b-mahmud-el-usruseni
جمال الدين محمد الأقسرائي	cemaleddin-muhammed-b-muhammed-el-aksarayi
حافظ الدين الكبير محمد	hafizuddin-el-kebir-ebul-fazl-muhammed-b-muhammed-el-buhari
حافظ الدين الكبير محمد البخاري	hafizuddin-el-kebir-ebul-fazl-muhammed-b-muhammed-el-buhari
حافظ الدين محمد البخاري	hafizuddin-el-kebir-ebul-fazl-muhammed-b-muhammed-el-buhari
حافظ الدين عبد الله النسفي	hafizuddin-ebul-berekat-abdullah-b-ahmed-en-nesefi
حسام الدين الحسن السغناقي	husameddin-el-huseyin-b-ali-es-signaki
حسام الدين حسن السغناقي	husameddin-el-huseyin-b-ali-es-signaki
حسام الدين محمد الأخسيكثي	husameddin-muhammed-b-muhammed-el-ahsikesi
حميد الدين علي الضرير	hamiduddin-ali-b-muhammed-ed-darir-er-rami-i
خاله شمس الأئمة الكردري	semsuleimme-muhammed-b-abdussettar-el-kerderi
شمس الأئمة محمد الكردري	semsuleimme-muhammed-b-abdussettar-el-kerderi
شمس الأئمة محمد بن عبد الستار الكردري	semsuleimme-muhammed-b-abdussettar-el-kerderi
محمد بن عبد الستار الكردري	semsuleimme-muhammed-b-abdussettar-el-kerderi
خاله ظهير الدين الحسن بن علي المرغيناني	zahiruddin-el-kebir-ebul-mehasin-el-hasan-b-ali-el-merginani
ظهير الدين علي بن عبد العزيز المرغيناني	zahiruddin-el-kebir-ali-b-abdulaziz-el-merginani
ركن الدين محمد بن عبد الرشيد الكرماني	rukneddin-ebu-bekir-muhammed-b-abdurresid-el-kirmani
عمه مسعود بن الحسين الكشاني	rukneddin-mesud-b-el-huseyin-el-kesani
أبو المعالي مسعود بن الحسين الكشاني	rukneddin-mesud-b-el-huseyin-el-kesani
شمس الدين أحمد السروجي	ebul-abbas-ahmed-b-ibrahim-es-seruci
أبو العباس أحمد السروجي	ebul-abbas-ahmed-b-ibrahim-es-seruci
أبو العباس السروجي	ebul-abbas-ahmed-b-ibrahim-es-seruci
قاضي القضاة أحمد السروجي	ebul-abbas-ahmed-b-ibrahim-es-seruci
صدر الدين محمد الخلاطي	sadreddin-ebu-abdullah-muhammed-b-abbad-el-hilati
محمد بن عبد الخلاطي	sadreddin-ebu-abdullah-muhammed-b-abbad-el-hilati
ضياء الدين محمد بن الحسين البنديخي	ziyaeddin-muhammed-b-el-huseyin-el-bendenici
محمد بن عمر النوحاباذي	zahiruddin-muhammed-b-omer-en-nuhabadi
ظهير الدين محمد بن عمر البخاري	zahiruddin-muhammed-b-omer-en-nuhabadi
ظهير الدين محمد بن أحمد صاحب الفتاوى الظهيرية	zahiruddin-ebu-bekir-muhammed-b-ahmed-el-buhari-el-muhtesib
عبد الأول بن برهان الدين علي	abdulevvel-b-burhaneddin-ali-el-merginani
عبد الرحمن بن شجاع	ebul-ferec-abdurrahman-b-suca-el-bagdadi
ابنه أبو الفرج عبد الرحمن بن شجاع	ebul-ferec-abdurrahman-b-suca-el-bagdadi
أبوه أبو الغنائم شجاع	ebul-ganaim-suca-b-el-hasan-el-bagdadi
عبد العزيز البخاري	alaeddin-abdulaziz-b-ahmed-el-buhari
علاء الدين عبد العزيز البخاري	alaeddin-abdulaziz-b-ahmed-el-buhari
عبد اللطيف بن ملك	ibn-melek-abdullatif-b-abdulaziz
أبو بكر الكاساني صاحب البدائع	melikul-ulema-alaeddin-ebu-bekir-b-mesud-el-kasani
علاء الدين أبو بكر الكاساني	melikul-ulema-alaeddin-ebu-bekir-b-mesud-el-kasani
علاء الدين الكاساني	melikul-ulema-alaeddin-ebu-bekir-b-mesud-el-kasani
علاء الدين أبو بكر محمد السمرقندي	alaeddin-ebu-bekir-muhammed-b-ahmed-es-semerkandi
علاء الدين أبو بكر محمد بن أحمد السمرقندي	alaeddin-ebu-bekir-muhammed-b-ahmed-es-semerkandi
علاء الدين محمد بن أحمد السمرقندي	alaeddin-ebu-bekir-muhammed-b-ahmed-es-semerkandi
علاء الدين الطوسي	alaeddin-ali-et-tusi
ملا طوسي	alaeddin-ali-et-tusi
علاء الدين العربي	alaeddin-ali-el-arabi
علاء الدين علي المروزي	kadi-alaeddin-ali-el-mervezi
علاء الدين علي بن بلبان الفارسي	alaeddin-ali-b-belban-el-farisi
علاء الدين علي بن عثمان ابن التركماني	alaeddin-ali-b-osman-ibnut-turkmani-el-mardini
علاء الدين علي بن عثمان التركماني	alaeddin-ali-b-osman-ibnut-turkmani-el-mardini
العلاء بن التركماني	alaeddin-ali-b-osman-ibnut-turkmani-el-mardini
الفخر ابن التركماني	fahreddin-osman-b-ibrahim-el-mardini
فخر الدين عثمان المارديني	fahreddin-osman-b-ibrahim-el-mardini
علي الرستغفني	ebul-hasan-ali-b-said-er-rustugfeni
علي بن الحسن البرهان البلخي	ebul-hasan-ali-b-el-hasan-el-burhan-el-belhi
عماد الدين الحسين بن علي اللامشي	imaduddin-ebul-kasim-el-huseyin-b-ali-el-lamisi
فخر الدين محمد بن محمد المايمرغي	fahreddin-muhammed-b-muhammed-el-mayimurgi
فخر الدين أحمد بن علي ابن الفصيح	fahreddin-ebu-talib-ahmed-b-ali-el-hemedani-ibnul-fasih
فخر الدين بديع بن منصور القزبني	kadi-fahreddin-bedi-b-mansur-el-kazbini
فخر الدين البديع القزويني	kadi-fahreddin-bedi-b-mansur-el-kazbini
