# Arapça	Türkçe okunuş (hoca ve talebe adları; fakihlerin kendi sayfası olanlar orada yazıldığı gibi alınır)
برهان الدين حيدر الهروي	Burhanüddin Haydar el-Herevi
برهان الدين مسعود	Burhanüddin Mes'ud
برهان الدين ناصر المطرزي صاحب المغرب	Burhanüddin Nasır el-Mutarrizi, el-Mugrib müellifi
بشر بن الوليد	Bişr b. el-Velid
بكر بن محمد الزرنجري	Bekir b. Muhammed ez-Zerenceri
بهاء الدين أيوب ابن النحاس الحلبي	Bahaeddin Eyyub İbnü'n-Nehhas el-Halebi
بهاء الدين محمد الإسبيجابي	Bahaeddin Muhammed el-İsbicabi
تاج الدين إبراهيم والد خطيب زاده	Tacüddin İbrahim, Hatibzade'nin babası
تاج الدين إسماعيل بن خليل	Tacüddin İsmail b. Halil
تاج الدين علي بن سنجر	Tacüddin Ali b. Sencer
جار الله محمود الزمخشري	Carullah Mahmud ez-Zemahşeri
جبريل بن صالح البغدادي	Cibril b. Salih el-Bağdadi
جده ابن الجوزي	dedesi İbnü'l-Cevzi
جده القاضي أحمد بن عبد الرحمن الريغدموني	dedesi Kadı Ahmed b. Abdurrahman er-Rigdemuni
جده تاج الشريعة محمود بن صدر الشريعة	dedesi Tacüşşeria Mahmud b. Sadrüşşeria
جده صاعد	dedesi Saıd
جده لأمه أبو نصر بن سهل	anne tarafından dedesi Ebu Nasr b. Sehl
جده لأمه شرف الدين عمر بن محمد العقيلي	anne tarafından dedesi Şerefüddin Ömer b. Muhammed el-Ukayli
جده محمود بن عبد العزيز الأوزجندي	dedesi Mahmud b. Abdülaziz el-Özcendi
جعفر بن الناجي	Ca'fer b. en-Naci
جعفر بن محمد المستغفري	Ca'fer b. Muhammed el-Müstağfiri
جلال الدين الدواني	Celaleddin ed-Devvani
جلال الدين السيوطي	Celaleddin es-Suyuti
جلال الدين عمر الخبازي	Celaleddin Ömer el-Habbazi
جلال الدين محمود بن الحسين الأستروشني	Celaleddin Mahmud b. el-Hüseyn el-Üsruşeni
جمال الدين الحصيري	Cemaleddin el-Hasiri
جمال الدين المطهر بن حسين اليزدي	Cemaleddin el-Mutahhar b. Hüseyn el-Yezdi
جمال الدين حامد بن محمد الريغدموني	Cemaleddin Hamid b. Muhammed er-Rigdemuni
جمال الدين محمد الأقسرائي	Cemaleddin Muhammed el-Aksarayi
حافظ الدين أبو الطاهر محمد بن محمد الطاهري	Hafızüddin Ebu't-Tahir Muhammed b. Muhammed et-Tahiri
حافظ الدين الكبير محمد	Hafızüddin el-Kebir Muhammed
حافظ الدين الكبير محمد البخاري	Hafızüddin el-Kebir Muhammed el-Buhari
حافظ الدين عبد الله النسفي	Hafızüddin Abdullah en-Nesefi
حافظ الدين محمد البخاري	Hafızüddin Muhammed el-Buhari
حافظ الدين محمد البزازي	Hafızüddin Muhammed el-Bezzazi
حسام الدين التوقاتي	Hüsameddin et-Tokadi
حسام الدين الحسن السغناقي	Hüsameddin el-Hasan es-Siğnaki
حسام الدين حسن السغناقي	Hüsameddin Hasan es-Siğnaki
حسام الدين محمد الأخسيكثي	Hüsameddin Muhammed el-Ahsikesi
حسام جلبي	Hüsam Çelebi
حفص بن غياث	Hafs b. Gıyas
حفيده عبد الله بن محمد السمرقندي	torunu Abdullah b. Muhammed es-Semerkandi
حفيده قاضيخان	torunu Kadıhan
حماد بن زيد	Hammad b. Zeyd
حميد الدين علي الضرير	Hamidüddin Ali ed-Darir
حميد الدين محمد بن علي النوقدي	Hamidüddin Muhammed b. Ali en-Nukadi
حميد الطويل	Humeyd et-Tavil
خاله أبو المكارم	dayısı Ebu'l-Mekarim
خاله شمس الأئمة الكردري	dayısı Şemsüleimme el-Kerderi
خاله ظهير الدين الحسن بن علي المرغيناني	dayısı Zahirüddin el-Hasan b. Ali el-Merginani
خضر بيك	Hızır Bey
خطيب زاده	Hatibzade
خلاد بن أسلم	Hallad b. Eslem
خواجه بهاء الدين نقشبند	Hace Bahaeddin Nakşibend
خواجه زاده	Hocazade
خواجه زاده مصطفى	Hocazade Mustafa
خواجه عبيد الله أحرار	Hace Ubeydullah Ahrar
خواجه عبيد الله السمرقندي	Hace Ubeydullah es-Semerkandi
خواجه علاء الدين العطار	Hace Alaeddin el-Attar
خواجه علي السمرقندي	Hace Ali es-Semerkandi
خواجه يوسف الهمداني	Hace Yusuf el-Hemedani
خير الدين العينتابي	Hayreddin el-Ayntabi
خير الدين خليل بن قاسم	Hayreddin Halil b. Kasım
خير الدين معلم السلطان	Hayreddin, Sultan'ın hocası
رضي الدين إبراهيم بن سليمان المنطقي	Radiyyüddin İbrahim b. Süleyman el-Mantıki
ركن الأئمة الوالجاني	Rüknüleimme el-Velvalici
ركن الإسلام أبو الفضل عبد الرحمن الكرماني	Rüknülislam Ebu'l-Fadl Abdurrahman el-Kirmani
ركن الدين إمام زاده محمد بن أبي بكر	Rükneddin İmamzade Muhammed b. Ebi Bekir
